Player,Team,GP,MPG,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,PPG,Year
Olden Polynice,LAC,76,24.1,2.6,4.5,7.1,0.6,0.6,0.3,1.1,2.2,8.1,1992
Bill Cartwright,CHI,64,23,1.5,3.6,5.1,1.4,0.3,0.2,1.2,2,8,1992
Vinnie Johnson,SAS,60,22.5,1.1,1.9,3,2.4,0.7,0.2,1.2,1.6,8,1992
Rick Fox,BOS,81,19,0.9,1.8,2.7,1.6,1,0.4,1.5,2.8,8,1992
Duane Causwell,SAC,80,28.6,2.5,4.8,7.2,0.7,0.6,2.7,1.6,3.5,8,1992
David Wingate,WAS,81,26.3,1,2.3,3.3,3,1.5,0.3,1.5,2,7.9,1992
Brian Shaw,MIA,63,22.6,0.8,2.4,3.2,4,0.9,0.3,1.6,1.8,7.9,1992
Mario Elie,GSW,79,21.2,0.9,2,2.9,2.2,0.9,0.2,1.1,2,7.8,1992
Gary Grant,LAC,78,26.3,0.4,1.9,2.4,6.9,1.8,0.2,2.4,2.3,7.8,1992
Mike Brown,UTA,82,21.7,2.3,3.5,5.8,1,0.5,0.4,1.3,2.4,7.7,1992
Andrew Lang,PHX,81,24.3,2.1,4.6,6.7,0.5,0.6,2.5,1.1,3.8,7.7,1992
Loy Vaught,LAC,79,21.4,2,4.5,6.5,0.9,0.5,0.4,0.8,2.1,7.6,1992
Ed Pinckney,BOS,81,23.7,3.1,3.9,7,0.8,0.9,0.7,0.9,2,7.6,1992
Terrell Brandon,CLE,82,19.6,0.6,1.4,2,3.9,1,0.3,1.7,1.3,7.4,1992
Victor Alexander,GSW,80,16.9,1.3,2.9,4.2,0.4,0.6,0.8,1.1,2.2,7.4,1992
Cedric Ceballos,PHX,64,11.4,0.9,1.4,2.4,0.8,0.2,0.2,1.1,0.8,7.2,1992
John Bagley,BOS,73,23.9,0.5,1.7,2.2,6.6,0.8,0.1,2,1.7,7.2,1992
Elden Campbell,LAL,81,23.2,1.9,3.3,5.2,0.7,0.7,2,0.9,2.5,7.1,1992
Jeff Turner,ORL,75,21.2,0.8,2.5,3.3,1.2,0.3,0.2,1.4,3.1,7.1,1992
Kenny Anderson,NJN,64,17,0.6,1.4,2,3.2,1,0.1,1.5,1.1,7,1992
John Paxson,CHI,79,24.6,0.3,0.9,1.2,3.1,0.6,0.1,0.6,1.8,7,1992
Anthony Mason,NYK,82,26.8,2.6,4.4,7,1.3,0.6,0.2,1.2,2.8,7,1992
Stacey King,CHI,79,16.1,1.1,1.5,2.6,1,0.3,0.3,1,1.6,7,1992
Kiki Vandeweghe,NYK,67,14.3,0.5,0.9,1.3,0.9,0.2,0.1,0.4,1.3,7,1992
Steve Kerr,CLE,48,17.6,0.3,1.3,1.6,2.3,0.6,0.2,0.6,0.6,6.6,1992
Felton Spencer,MIN,61,24.3,2.7,4.4,7.1,0.9,0.4,1.3,1.1,4,6.6,1992
Charles Shackleford,PHI,72,19.4,2,3.8,5.8,0.6,0.5,0.7,0.9,2.8,6.6,1992
Todd Lichti,DEN,68,17.3,0.5,1.2,1.7,1.1,0.6,0.2,1.1,1.9,6.6,1992
Randy White,DAL,65,15.7,1.5,2.2,3.6,0.5,0.5,0.3,1,2.4,6.4,1992
Henry James,CLE,65,13.3,0.5,1.2,1.7,0.4,0.2,0.2,0.7,1.4,6.4,1992
Matt Bullard,HOU,80,16,0.9,1.9,2.8,0.9,0.3,0.3,0.7,1.6,6.4,1992
Vincent Askew,GSW,80,18.7,1.1,1.8,2.9,2.4,0.6,0.3,1.1,1.6,6.2,1992
Dale Davis,IND,64,20.3,2.5,3.9,6.4,0.5,0.4,1.2,0.8,3,6.2,1992
Charles Oakley,NYK,82,28.2,3.1,5.4,8.5,1.6,0.8,0.2,1.5,3.1,6.2,1992
Mark West,PHX,82,17.5,1.6,2.9,4.5,0.3,0.2,1,1,2.9,6.1,1992
Alaa Abdelnaby,POR,71,13.2,1.1,2.5,3.7,0.4,0.4,0.2,0.9,1.9,6.1,1992
Nate McMillan,SEA,72,22.9,1.3,2.2,3.5,5,1.8,0.4,1.6,3,6,1992
Tate George,NJN,70,14.8,0.5,1,1.5,2.3,0.6,0,1.2,1.4,6,1992
Anthony Frederick,CHA,66,12.9,1.1,1,2.2,1.1,0.6,0.4,0.9,1.4,5.9,1992
Rafael Addison,NJN,76,15.5,0.9,1.3,2.2,0.9,0.4,0.4,0.6,1.4,5.8,1992
Brad Lohaus,MIL,70,15.4,0.9,2.6,3.6,1.1,0.6,1,0.7,2.1,5.8,1992
Chris Gatling,GSW,54,11.3,1.4,2,3.4,0.3,0.6,0.7,0.8,1.9,5.7,1992
David Benoit,UTA,77,15.1,1.4,2.5,3.8,0.4,0.2,0.6,0.9,1.6,5.6,1992
Chris Dudley,NJN,82,23.2,4.2,4.8,9,0.7,0.5,2.2,1,3.4,5.6,1992
Avery Johnson,HOU,69,17.9,0.2,1,1.2,3.9,0.9,0.1,1.6,1.3,5.6,1992
Greg Anthony,NYK,82,18.4,0.4,1.3,1.7,3.8,0.7,0.1,1.2,2.1,5.5,1992
Randy Breuer,MIN,67,17.6,1.5,2.7,4.2,1.3,0.4,1.5,0.6,1.7,5.4,1992
Alec Kessler,MIA,77,15.5,1.5,2.6,4.1,0.4,0.2,0.4,0.8,2.4,5.3,1992
Darrell Walker,DET,74,20.8,1.1,2.1,3.2,2.8,0.9,0.2,1.1,1.8,5.2,1992
Danny Ferry,CLE,68,13.8,0.8,2.4,3.1,1.1,0.3,0.2,0.7,2,5.1,1992
Scott Brooks,MIN,82,13.2,0.3,0.9,1.2,2.5,0.8,0.1,0.6,1,5.1,1992
LaSalle Thompson,IND,80,16.2,1.2,3.5,4.8,1.3,0.7,0.4,1.2,2.6,4.9,1992
James Donaldson,NYK,58,18.5,1.7,3.3,5,0.6,0.1,0.8,0.8,1.8,4.9,1992
Tony Brown,SEA,57,11.5,0.6,0.9,1.5,0.8,0.5,0.1,0.6,1.4,4.8,1992
Joe Kleine,BOS,70,14.2,1.3,2.9,4.2,0.5,0.3,0.2,0.4,1.4,4.7,1992
Robert Pack,POR,72,12.4,0.4,0.9,1.3,1.9,0.6,0.1,1.3,1.4,4.6,1992
Sidney Green,SAS,80,14.1,1.1,3.1,4.3,0.5,0.4,0.1,0.8,1.9,4.6,1992
Will Perdue,CHI,77,13.1,1.4,2.6,4.1,1,0.2,0.6,0.9,1.7,4.5,1992
Danny Young,LAC,62,16.5,0.3,1,1.2,2.8,0.7,0.1,0.8,0.9,4.5,1992
Tony Smith,LAL,63,13,0.5,0.7,1.2,1.7,0.6,0.1,0.8,1.4,4.4,1992
Luc Longley,MIN,66,15,1,2.9,3.9,0.8,0.5,1,1.3,2.4,4.3,1992
Craig Hodges,CHI,56,9.9,0.1,0.3,0.4,1,0.2,0,0.4,0.6,4.2,1992
Kenny Williams,IND,60,9.4,1.1,1.1,2.1,0.7,0.3,0.7,0.4,1.6,4.2,1992
Donald Royal,SAS,60,12,1.1,1,2.1,0.6,0.4,0.1,0.7,1.2,4.2,1992
Mark Bryant,POR,56,14.3,1.6,2,3.6,0.7,0.5,0.1,0.5,1.9,4.1,1992
Andre Turner,WAS,70,12.4,0.2,1,1.3,2.5,0.8,0,1.2,0.8,4.1,1992
Cliff Levingston,CHI,79,12.9,1.4,1.5,2.9,0.8,0.3,0.6,0.5,1.7,3.9,1992
Joe Wolf,DEN,67,17.3,1.4,2.1,3.6,0.9,0.5,0.2,0.9,1.9,3.8,1992
Jim Les,SAC,62,11.5,0.2,0.8,1,2.3,0.5,0,0.7,0.9,3.7,1992
Keith Askins,MIA,59,14.3,1.1,1.3,2.4,0.6,0.7,0.3,0.8,1.8,3.7,1992
Greg Sutton,SAS,67,9,0.1,0.6,0.7,1.4,0.4,0.1,1,1.7,3.7,1992
Pete Chilcutt,SAC,69,11.8,1.1,1.6,2.7,0.6,0.5,0.2,0.6,1,3.6,1992
Lester Conner,MIL,81,17.5,0.8,1.5,2.3,3.6,1.2,0.1,1,1.1,3.5,1992
Scott Williams,CHI,63,11,1.4,2.5,3.9,0.8,0.2,0.6,0.6,1.9,3.4,1992
Eric Leckner,CHA,59,12.1,0.8,2.7,3.5,0.5,0.2,0.3,0.7,1.9,3.3,1992
Greg Grant,PHI,68,13.1,0.2,0.8,1,3.2,0.7,0,0.7,1.1,3.3,1992
Mark Eaton,UTA,81,25,1.9,4.2,6.1,0.5,0.4,2.5,0.7,3,3.3,1992
Greg Kite,ORL,72,20.5,2.2,3.4,5.6,0.6,0.4,0.8,0.8,2.9,3.2,1992
Jon Koncak,ATL,77,19.3,0.8,2.6,3.4,1.7,0.6,0.9,0.7,2.7,3.1,1992
Ed Nealy,PHX,52,9.7,0.5,1.7,2.1,0.7,0.3,0,0.3,0.9,3.1,1992
Mark Acres,ORL,68,13.6,1.4,2.3,3.7,0.3,0.4,0.2,0.5,2.1,3.1,1992
Delaney Rudd,UTA,65,8.3,0.2,0.6,0.8,1.7,0.2,0,0.8,1,3,1992
Paul Pressey,SAS,56,13.6,0.4,1.3,1.7,2.5,0.5,0.3,1.1,1.5,2.7,1992
Bobby Hansen,CHI,68,11.9,0.2,0.9,1.1,1,0.4,0,0.4,2,2.5,1992
Tree Rollins,HOU,59,11.8,1,1.9,2.9,0.3,0.2,1.1,0.3,1.4,2,1992
Greg Dreiling,IND,60,8.5,0.4,1.2,1.6,0.4,0.2,0.3,0.5,2,1.9,1992
Manute Bol,PHI,71,17.8,0.8,2.4,3.1,0.3,0.2,2.9,0.6,2,1.5,1992
Charles A. Jones,WAS,75,18.2,1.4,2.8,4.2,0.8,0.6,1.2,0.5,2.9,1.1,1992
Michael Jordan,CHI,78,39.3,1.7,5,6.7,5.5,2.8,0.8,2.7,2.4,32.6,1993
Dominique Wilkins,ATL,71,37.3,2.6,4.2,6.8,3.2,1,0.4,2.6,1.6,29.9,1993
Karl Malone,UTA,82,37.8,2.8,8.4,11.2,3.8,1.5,1,2.9,3.2,27,1993
Hakeem Olajuwon,HOU,82,39.5,3.5,9.6,13,3.5,1.8,4.2,3.2,3.7,26.1,1993
Charles Barkley,PHX,76,37.6,3.1,9.1,12.2,5.1,1.6,1,3.1,2.6,25.6,1993
Patrick Ewing,NYK,81,37.1,2.4,9.7,12.1,1.9,0.9,2,3.3,3.5,24.2,1993
Joe Dumars,DET,77,40.2,0.8,1.1,1.9,4,1,0.1,1.8,1.8,23.5,1993
Shaquille O'Neal,ORL,81,37.9,4.2,9.6,13.9,1.9,0.7,3.5,3.8,4,23.4,1993
David Robinson,SAS,82,39.2,2.8,8.9,11.7,3.7,1.5,3.2,2.9,2.9,23.4,1993
Danny Manning,LAC,79,34.9,2.5,4.1,6.6,2.6,1.4,1.3,2.9,4.1,22.8,1993
Drazen Petrovic,NJN,70,38,0.6,2.1,2.7,3.5,1.3,0.2,2.9,3.4,22.3,1993
Larry Johnson,CHA,82,40.5,3.4,7.1,10.5,4.3,0.6,0.3,2.8,2.3,22.1,1993
Tim Hardaway,GSW,66,39.5,0.9,3.1,4,10.6,1.8,0.2,3.3,2.3,21.5,1993
Reggie Miller,IND,82,36,0.8,2.3,3.1,3.2,1.5,0.3,1.8,2.2,21.2,1993
Alonzo Mourning,CHA,78,33.9,3.4,6.9,10.3,1,0.3,3.5,3,3.7,21,1993
Reggie Lewis,BOS,80,39.3,1.1,3.2,4.3,3.7,1.5,1,1.7,3.1,20.8,1993
Derrick Coleman,NJN,76,36.3,3.2,8,11.2,3.6,1.2,1.7,3.2,2.8,20.7,1993
Hersey Hawkins,PHI,81,36.8,1.1,3.1,4.3,3.9,1.7,0.4,2.2,2.3,20.3,1993
Brad Daugherty,CLE,71,37.9,2.3,7.9,10.2,4.4,0.7,0.8,2.1,2.5,20.2,1993
Nick Anderson,ORL,79,37,1.5,4.5,6,3.4,1.6,0.7,2.1,2.5,19.9,1993
Doug West,MIN,80,38.8,1.1,2,3.1,2.9,1.1,0.3,2.1,3.5,19.3,1993
Mahmoud Abdul-Rauf,DEN,81,33.5,0.6,2.1,2.8,4.2,1,0.1,2.3,2.2,19.2,1993
Cliff Robinson,POR,82,31.4,2,4.6,6.6,2.2,1.2,2,2.1,3.5,19.1,1993
Jeff Hornacek,PHI,79,36.2,1.1,3.3,4.3,6.9,1.7,0.3,2.8,2.6,19.1,1993
Detlef Schrempf,IND,82,37.8,2.6,7,9.5,6,1,0.3,3,3.7,19.1,1993
Glen Rice,MIA,82,37.6,1.1,4,5.2,2.2,1.1,0.3,1.9,2.5,19,1993
Scottie Pippen,CHI,81,38.6,2.5,5.2,7.7,6.3,2.1,0.9,3,2.7,18.6,1993
Harvey Grant,WAS,72,37,1.8,3.9,5.7,2.8,1,0.6,1.2,2.3,18.6,1993
Terry Porter,POR,81,35.6,0.7,3.2,3.9,5.2,1.2,0.1,2.5,1.5,18.2,1993
Ricky Pierce,SEA,77,28.8,0.8,1.7,2.5,2.9,1.3,0.1,2.1,2.2,18.2,1993
Mark Price,CLE,75,31.7,0.5,2.2,2.7,8,1.2,0.1,2.6,1.4,18.2,1993
Christian Laettner,MIN,81,34.9,2.1,6.6,8.7,2.8,1.3,1,3.4,3.6,18.2,1993
Derek Harper,DAL,62,34,0.7,1.3,2,5.4,1.3,0.3,2.2,2.3,18.2,1993
Jeff Malone,UTA,79,32.4,0.4,1.8,2.2,1.6,0.5,0.1,1.6,1.5,18.1,1993
Ron Harper,LAC,80,37.1,1.5,3.9,5.3,4.5,2.2,0.9,2.8,2.6,18,1993
Kevin Willis,ATL,80,36,4.2,8.7,12.8,2.1,0.8,0.5,2.7,3.3,17.9,1993
Lionel Simmons,SAC,69,36.3,2.3,4.9,7.2,4.5,1.4,0.6,2.8,2.9,17.9,1993
Shawn Kemp,SEA,78,33.1,3.7,7,10.7,2,1.5,1.9,2.8,4.2,17.8,1993
Isiah Thomas,DET,79,37,0.9,2,2.9,8.5,1.6,0.2,3.6,2.8,17.6,1993
John Starks,NYK,80,31,0.7,1.9,2.5,5,1.1,0.1,2.2,2.9,17.5,1993
Sean Elliott,SAS,70,37.2,1.2,3.4,4.6,3.8,1,0.4,2.2,1.9,17.2,1993
Rony Seikaly,MIA,72,34.1,3.6,8.2,11.8,1.4,0.5,1.2,2.8,3.6,17.1,1993
Reggie Williams,DEN,79,34.5,1.7,3.7,5.4,3.7,1.6,1,2.5,3.6,17,1993
Walt Williams,SAC,59,28.4,1.9,2.5,4.5,3,1.1,0.5,3,3.5,17,1993
Dan Majerle,PHX,82,39,1.5,3.2,4.7,3.8,1.7,0.4,1.6,2.2,16.9,1993
Kendall Gill,CHA,69,35.2,1.7,3.2,4.9,3.9,1.4,0.5,2.5,2.8,16.9,1993
Frank Brickowski,MIL,66,31.4,1.8,4.3,6.1,3,1.2,0.7,3.1,3.6,16.9,1993
Blue Edwards,MIL,82,33.3,1.5,3.2,4.7,2.6,1.6,0.5,2.1,3,16.9,1993
Chuck Person,MIN,78,38.3,1.3,4.3,5.6,4.4,0.9,0.4,2.8,2.5,16.8,1993
Dale Ellis,SAS,82,33.3,1,2.8,3.8,1.3,1,0.2,1.4,2.2,16.7,1993
Wayman Tisdale,SAC,76,30,1.7,4.9,6.6,1.4,0.7,0.6,1.5,3.6,16.6,1993
Larry Nance,CLE,77,35.8,2.4,6.3,8.7,2.9,0.7,2.6,1.4,2.9,16.5,1993
Kevin Johnson,PHX,49,33.5,0.6,1.5,2.1,7.8,1.7,0.4,3.1,2,16.1,1993
Richard Dumas,PHX,48,27.5,2.1,2.6,4.6,1.2,1.8,0.8,1.9,2.6,15.8,1993
Clarence Weatherspoon,PHI,82,32.4,2.2,5,7.2,1.8,1,0.8,2.1,2.3,15.6,1993
Scott Skiles,ORL,78,39.6,0.7,3.1,3.7,9.4,1.1,0,3.4,3.1,15.4,1993
Latrell Sprewell,GSW,77,35.6,1,2.5,3.5,3.8,1.6,0.6,2.6,2.2,15.4,1993
Dell Curry,CHA,80,26.2,0.6,2.9,3.6,2.2,1.1,0.3,1.6,1.9,15.3,1993
Micheal Williams,MIN,76,35,1.1,2.5,3.6,8.7,2.2,0.3,3,3.5,15.1,1993
John Stockton,UTA,82,34.9,0.8,2.1,2.9,12,2.4,0.3,3.2,2.7,15.1,1993
Sedale Threatt,LAL,82,35.3,0.6,2.8,3.3,6.9,1.7,0.1,2.1,3,15.1,1993
Ken Norman,LAC,76,32.6,2.8,4.8,7.5,2.2,0.8,0.8,1.6,2.1,15,1993
James Worthy,LAL,82,28.8,0.9,2.1,3,3.4,1.1,0.3,1.7,1.1,14.9,1993
Terry Mills,DET,81,27,2.2,3.7,5.8,1.4,0.5,0.6,1.8,3.5,14.8,1993
Michael Adams,WAS,70,35.7,0.7,2.7,3.4,7.5,1.4,0.1,2.5,2.1,14.8,1993
LaPhonso Ellis,DEN,82,33.5,3.3,5.7,9.1,1.8,0.9,1.4,1.9,3.6,14.7,1993
Tom Gugliotta,WAS,81,34.5,2.7,6.9,9.6,3.8,1.7,0.4,2.8,2.4,14.7,1993
Spud Webb,SAC,69,33.8,0.6,2.2,2.8,7,1.5,0.1,2.8,2.6,14.5,1993
Eric Murdock,MIL,79,30.8,1.2,2.4,3.6,7.6,2.2,0.1,2.6,2.2,14.4,1993
Mark Jackson,LAC,82,38,1.6,3.2,4.7,8.8,1.7,0.1,2.7,1.9,14.4,1993
Eddie Johnson,SEA,82,22.8,1.5,1.8,3.3,1.6,0.4,0,1.6,2.1,14.4,1993
Rik Smits,IND,81,25.6,1.6,3.8,5.3,1.5,0.3,0.9,1.8,3.5,14.3,1993
Chris Morris,NJN,77,29.9,2.9,2.9,5.9,1.4,1.9,0.7,1.5,2.2,14.1,1993
Stacey Augmon,ATL,73,28.9,1.9,2,3.9,2.3,1.2,0.2,2.2,1.9,14,1993
Grant Long,MIA,76,35.9,2.6,4.9,7.5,2.4,1.4,0.4,1.8,3.5,14,1993
Todd Day,MIL,71,27.2,2,2.1,4.1,1.6,1.1,0.7,1.7,3.1,13.8,1993
Vernon Maxwell,HOU,71,31.7,0.4,2.7,3.1,4.2,1.2,0.1,2,1.7,13.8,1993
Dikembe Mutombo,DEN,82,36.9,4.2,8.9,13,1.8,0.5,3.5,2.6,3.5,13.8,1993
Rod Strickland,POR,78,31.7,1.5,2.8,4.3,7.2,1.7,0.3,2.6,2,13.7,1993
Byron Scott,LAL,58,28.9,0.5,1.8,2.3,2.7,0.9,0.2,1.2,1.7,13.7,1993
Xavier McDaniel,BOS,82,27,2,3.9,6,2,0.9,0.6,2.1,3,13.5,1993
Gary Payton,SEA,82,31.1,1.2,2.3,3.4,4.9,2.2,0.3,1.8,3,13.5,1993
Sean Rooks,DAL,72,29,2.7,4.7,7.4,1.3,0.5,1.1,2.2,2.8,13.5,1993
Derrick McKey,SEA,77,31.7,1.6,2.7,4.2,2.6,1.4,0.8,2,2.7,13.4,1993
Mookie Blaylock,ATL,80,35.2,1.1,2.4,3.5,8.4,2.5,0.3,2.3,1.9,13.4,1993
Kevin Gamble,BOS,82,31,0.6,2.4,3,2.8,1,0.5,1,2.3,13.3,1993
Horace Grant,CHI,77,35.6,4.4,5,9.5,2.6,1.2,1.2,1.4,2.8,13.2,1993
Antoine Carr,SAS,71,27.4,1.5,4,5.5,1.4,0.5,1.2,1.4,3.7,13.1,1993
Sam Perkins,SEA,79,29.8,2.1,4.6,6.6,2,0.8,1,1.4,2.8,13.1,1993
Kenny Smith,HOU,82,29.5,0.3,1.6,2,5.4,1,0.1,2,1.3,13,1993
Cedric Ceballos,PHX,74,21.7,2.3,3.2,5.5,1,0.7,0.4,1.4,1.4,12.8,1993
Otis Thorpe,HOU,72,32.7,3,5.1,8.2,2.5,0.6,0.3,2.1,3.2,12.8,1993
A.C. Green,LAL,82,34.4,3.5,5.2,8.7,1.4,1.1,0.5,1.4,1.8,12.8,1993
Vlade Divac,LAL,82,30.8,2.7,6.2,8.9,2.8,1.6,1.7,2.6,3.8,12.8,1993
Terry Davis,DAL,75,32.8,3.5,5.9,9.3,0.9,0.5,0.4,2.1,2.7,12.7,1993
Robert Parish,BOS,79,27.2,3.1,6.3,9.4,0.8,0.7,1.3,1.5,2.5,12.6,1993
Rex Chapman,WAS,60,21.7,0.3,1.1,1.5,1.9,0.6,0.2,1.3,2,12.5,1993
Armen Gilliam,PHI,80,21.8,1.7,4.2,5.9,1.4,0.5,0.7,2,1.5,12.4,1993
Charles Daniel Smith,NYK,81,26.8,2.1,3.2,5.3,1.8,0.6,1.2,1.9,3.1,12.4,1993
B.J. Armstrong,CHI,82,30.4,0.3,1.5,1.8,4,0.8,0.1,1,2.1,12.3,1993
Tom Chambers,PHX,73,23.6,1.3,3.4,4.7,1.4,0.6,0.3,1.3,2.9,12.2,1993
Orlando Woolridge,MIL,58,26.8,1.5,1.7,3.2,2,0.5,0.5,1.4,2.1,12,1993
Johnny Newman,CHA,64,23,1.1,1.1,2.2,1.8,0.7,0.3,1.4,2.4,11.9,1993
Danny Ainge,PHX,80,27,0.6,2.1,2.7,3.2,0.9,0.1,1.4,2.2,11.8,1993
Tyrone Corbin,UTA,82,31.2,2.4,4,6.3,2.1,1.3,0.4,1.3,3.1,11.6,1993
Craig Ehlo,CLE,82,31.2,1.4,3.5,4.9,3.1,1.3,0.3,1.5,2.1,11.6,1993
Stanley Roberts,LAC,77,23.6,2.4,3.9,6.2,0.8,0.4,1.8,1.6,4.3,11.3,1993
Victor Alexander,GSW,72,24.3,1.8,4,5.8,1.3,0.5,0.7,1.7,3,11.2,1993
Gerald Wilkins,CLE,80,26,0.9,1.8,2.7,2.3,1,0.2,1.2,1.9,11.1,1993
Hot Rod Williams,CLE,67,30.7,1.9,4.3,6.2,2.3,0.7,1.6,1.7,2.6,11,1993
Dee Brown,BOS,80,28.2,0.6,2.5,3.1,5.8,1.7,0.4,1.7,2.5,10.9,1993
Kevin McHale,BOS,71,23.3,1.3,3.7,5,1,0.2,0.8,1.3,1.8,10.7,1993
Bimbo Coles,MIA,81,27.6,0.7,1.3,2,4.6,1,0.1,1.3,2.5,10.6,1993
Jerome Kersey,POR,65,26.4,1.9,4.3,6.2,1.9,1.2,0.6,1.3,2.8,10.6,1993
Robert Pack,DEN,77,20.5,0.7,1.4,2.1,4.4,1.1,0.1,2.4,2.4,10.5,1993
Anthony Peeler,LAL,77,21.5,0.8,1.5,2.3,2.2,0.8,0.2,1.6,2.5,10.4,1993
Doug Smith,DAL,61,25,1.6,3.8,5.4,1.7,0.8,0.9,1.9,4.6,10.4,1993
Pooh Richardson,IND,74,32.4,0.9,2.8,3.6,7.7,1.3,0.2,2.3,1.8,10.4,1993
Harold Miner,MIA,73,18.9,1,1,2,1,0.5,0.1,1.3,1.8,10.3,1993
Anthony Mason,NYK,81,30.6,2.9,5,7.9,2.1,0.5,0.2,1.7,3,10.3,1993
Duane Ferrell,ATL,82,21.2,1.2,1.1,2.3,1.6,0.7,0.2,1.3,2,10.2,1993
Robert Horry,HOU,79,29.5,1.4,3.5,5,2.4,1,1,2,2.7,10.1,1993
Muggsy Bogues,CHA,81,35,0.6,3,3.7,8.8,2,0.1,1.9,2.2,10,1993
Kevin Duckworth,POR,74,23.8,1.6,3.6,5.2,0.9,0.6,0.5,1.2,3,9.9,1993
Anthony Avent,MIL,82,27.9,2.2,4,6.2,1.1,0.7,0.9,1.7,2.9,9.8,1993
Larry Stewart,WAS,81,22.5,1.9,2.8,4.7,1.8,0.6,0.4,1.9,2.4,9.8,1993
Rolando Blackman,NYK,60,23.9,0.4,1.3,1.7,2.6,0.4,0.2,1.1,2.1,9.7,1993
Randy White,DAL,64,22.4,2.4,3.4,5.8,0.8,1,0.7,1.7,3.5,9.7,1993
Vern Fleming,IND,75,20,0.8,1.4,2.3,3,0.8,0.1,1.6,1.7,9.5,1993
Loy Vaught,LAC,79,20.9,2.1,4.2,6.2,0.7,0.7,0.5,1.1,2.2,9.4,1993
J.R. Reid,SAS,83,22.7,1.4,4,5.5,1,0.6,0.4,1.5,3.2,9.4,1993
LaBradford Smith,WAS,69,22.4,0.4,1.2,1.5,2.7,0.8,0.1,1.5,2.6,9.3,1993
Chris Gatling,GSW,70,17.8,1.8,2.7,4.6,0.6,0.6,0.8,1.5,2.8,9.3,1993
Donald Royal,ORL,77,21.2,1.5,2.3,3.8,1,0.5,0.3,1.5,2.3,9.2,1993
Lloyd Daniels,SAS,77,20.4,1.1,1.7,2.8,1.9,0.5,0.4,1.3,1.9,9.1,1993
Sam Bowie,NJN,79,26.5,2,5,7,1.6,0.4,1.6,1.5,2.9,9.1,1993
Brad Lohaus,MIL,80,22.1,0.7,2.7,3.5,1.6,0.6,0.9,1.2,2.2,9.1,1993
Tim Perry,PHI,81,26,1.9,3.1,5,1.6,0.5,1.1,1.5,2,9,1993
Alvin Robertson,DET,69,29.1,1.6,2.3,3.9,3.8,2.2,0.3,1.9,3.2,9,1993
Dale Davis,IND,82,27.6,3.5,5.3,8.8,0.8,0.8,1.8,1,3.3,8.9,1993
Johnny Dawkins,PHI,74,21.6,0.4,1.4,1.8,4.6,1.1,0.1,1.6,1.2,8.9,1993
Jay Humphries,UTA,78,26.1,0.5,1.3,1.8,4.1,1.3,0.1,1.7,3,8.8,1993
Terrell Brandon,CLE,82,19.8,0.5,1.7,2.2,3.7,1,0.3,1.3,1.5,8.8,1993
Avery Johnson,SAS,75,27.1,0.3,1.7,1.9,7.5,1.1,0.2,1.9,1.9,8.7,1993
Mike Iuzzolino,DAL,70,25.3,0.4,1.6,2,4.7,0.7,0.1,1.8,1.4,8.7,1993
Bill Laimbeer,DET,79,24.5,1.4,3.9,5.3,1.6,0.6,0.5,0.7,2.7,8.7,1993
Tyrone Hill,GSW,74,28,3.4,6.7,10.2,0.9,0.6,0.5,1.2,4.3,8.6,1993
Mario Elie,POR,82,21.4,0.7,1.9,2.6,2.2,0.9,0.2,1.1,1.8,8.6,1993
Anthony Bonner,SAC,70,25.2,2.7,3.8,6.5,1.4,1.2,0.2,1.5,2.6,8.6,1993
Mike Sanders,CLE,53,22.4,1,2.2,3.2,1.4,0.7,0.6,1.1,2.8,8.6,1993
Rumeal Robinson,NJN,80,19.8,0.6,1.4,2,4,1.2,0.1,1.8,2.1,8.4,1993
Rod Higgins,SAC,69,20.7,1,1.8,2.8,1.7,0.7,0.4,0.9,2,8.3,1993
Buck Williams,POR,82,30.5,2.8,5.6,8.4,0.9,1,0.7,1.2,3.3,8.3,1993
Ron Anderson,PHI,69,18.3,0.9,1.8,2.7,1.3,0.4,0.1,0.9,1.1,8.1,1993
Paul Graham,ATL,80,18.9,0.8,1.6,2.4,2,1.1,0.1,1.5,2.3,8.1,1993
David Benoit,UTA,82,20.9,1.4,3.4,4.8,0.5,0.5,0.5,1.1,2.5,8.1,1993
Tom Tolbert,ORL,72,25.5,1.8,3.9,5.7,1.3,0.5,0.3,1.7,2.7,8.1,1993
Marcus Liberty,DEN,78,20.3,1.7,2.6,4.3,1.3,0.8,0.3,1,1.8,8.1,1993
Anthony Bowie,ORL,77,22.9,0.5,2.1,2.5,2.3,0.7,0.2,1.1,1.7,8,1993
Walter Bond,DAL,74,21.3,0.7,1.9,2.6,1.6,1,0.2,1.5,3,8,1993
Doc Rivers,NYK,77,24.5,0.3,2.2,2.5,5.3,1.6,0.1,1.5,2.8,7.8,1993
Dana Barros,SEA,69,18,0.3,1.3,1.6,2.2,0.9,0,0.8,1.1,7.8,1993
Sherman Douglas,BOS,79,24.5,0.8,1.2,2.1,6.4,0.6,0.1,2,2.1,7.8,1993
Tony Campbell,NYK,58,18.3,1,1.7,2.7,1.1,0.6,0.1,0.9,2.6,7.7,1993
Alaa Abdelnaby,BOS,75,17.5,1.7,2.8,4.5,0.4,0.3,0.3,1.3,2.5,7.7,1993
